windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,uniqueSrcIPs,uniqueDstIPs,uniqueTCPSrcPorts,uniqueTCPDstPorts,uniqueUDPSrcPorts,uniqueUDPDstPorts,TCPPacketCount,UDPPacketCount,label
43727,1773612088.864639,1773612093.864639,1,70.0,,1,1,0,0,1,1,0,1,idle
43728,1773612089.864639,1773612094.864639,5,70.0,0.0,1,1,0,0,1,1,0,5,idle
43729,1773612090.864639,1773612095.864639,8,70.0,0.0,1,1,0,0,1,1,0,8,idle
43730,1773612091.864639,1773612096.864639,8,70.0,0.0,1,1,0,0,1,1,0,8,idle
43731,1773612092.864639,1773612097.864639,8,70.0,0.0,1,1,0,0,1,1,0,8,idle
43732,1773612093.864639,1773612098.864639,7,70.0,0.0,1,1,0,0,1,1,0,7,idle
43733,1773612094.864639,1773612099.864639,6,64.0,6.928203230275509,3,3,2,2,1,1,3,3,idle
43734,1773612095.864639,1773612100.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43735,1773612096.864639,1773612101.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43736,1773612097.864639,1773612102.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43737,1773612098.864639,1773612103.864639,6,58.0,3.0983866769659336,3,3,3,3,0,0,6,0,idle
43738,1773612099.864639,1773612104.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43739,1773612100.864639,1773612105.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43740,1773612101.864639,1773612106.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43741,1773612102.864639,1773612107.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43744,1773612105.864639,1773612110.864639,4,81.5,17.897858344878397,2,2,2,2,0,0,4,0,idle
43745,1773612106.864639,1773612111.864639,4,81.5,17.897858344878397,2,2,2,2,0,0,4,0,idle
43746,1773612107.864639,1773612112.864639,4,81.5,17.897858344878397,2,2,2,2,0,0,4,0,idle
43747,1773612108.864639,1773612113.864639,4,81.5,17.897858344878397,2,2,2,2,0,0,4,0,idle
43748,1773612109.864639,1773612114.864639,4,81.5,17.897858344878397,2,2,2,2,0,0,4,0,idle
43752,1773612113.864639,1773612118.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43753,1773612114.864639,1773612119.864639,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
43754,1773612115.864639,1773612120.864639,6,162.5,161.13565713398137,2,3,3,3,0,0,6,0,bulboff
43755,1773612116.864639,1773612121.864639,10,137.6,130.3876272248764,3,3,4,4,0,0,10,0,bulboff
43756,1773612117.864639,1773612122.864639,10,137.6,130.3876272248764,3,3,4,4,0,0,10,0,bulboff
