windowID,windowStart,windowEnd,packetCount,tcpPacketCount,udpPacketCount,tcpRatio,udpRatio,avgPacketLength,stdPacketLength,minPacketLength,maxPacketLength,medianPacketLength,smallPacketCount,largePacketCount,throughput,uniqueSrcIPs,uniqueDstIPs,avgTTL,stdTTL,avgIPLen,stdIPLen,uniqueTCPSrcPorts,uniqueTCPDstPorts,avgTCPLen,stdTCPLen,tcpPayloadPacketCount,tcpPayloadPacketRatio,uniqueTCPStreams,avgTCPWindowSize,minTCPWindowSize,tcpSynCount,tcpAckCount,tcpFinCount,tcpRstCount,tcpPshCount,tcpSynOnlyCount,uniqueUDPSrcPorts,uniqueUDPDstPorts,avgInterArrivalTime,stdInterArrivalTime,minInterArrivalTime,maxInterArrivalTime,packetTo_loungeBulb,packetFrom_loungeBulb,packetTo_bedroomBulb,packetFrom_bedroomBulb,packetTo_camera,packetFrom_camera,packetTo_hub,packetFrom_hub,packetTo_plug,packetFrom_plug,tlsHandshakeCount,avgTLSRecordLen,avgUDPLen,DNSQueryCount,uniqueDNSQueries,label
1097,1774194929.176011,1774194930.176011,5,5,0,1.0,0.0,206.6,259.29192042946494,60,667,123.0,2,1,1033.0,2,2,171.0,76.68115805072325,190.2,261.00325668466286,2,2,150.2,261.00325668466286,3,0.6,1,40157.8,2023.0,0,5,0,0,3,0,0,0,0.00854,0.013087845391812972,2.4e-05,0.031411,0,0,0,0,0,0,3,2,0,0,0,245.33333333333334,,0,0,movingaroundhouse
1098,1774194930.124529,1774194931.124529,3,3,0,1.0,0.0,173.0,172.86700089953547,60,372,87.0,2,0,519.0,2,2,208.33333333333334,80.82903768654761,157.0,174.85136545077364,2,2,117.0,174.85136545077364,2,0.6666666666666666,1,23387.333333333332,2297.0,0,3,0,0,2,0,0,0,0.04449466666666666,0.06272487975543145,0.003277,0.116681,0,0,0,0,0,0,0,0,1,2,0,170.5,,0,0,plugon
1099,1774194946.809371,1774194947.809371,3,3,0,1.0,0.0,172.33333333333334,171.71585055938584,60,370,87.0,2,0,517.0,2,2,208.33333333333334,80.82903768654761,156.33333333333334,173.70185184198047,2,2,116.33333333333333,173.7018518419805,2,0.6666666666666666,1,23496.0,2460.0,0,3,0,0,2,0,0,0,0.039286,0.007718948956950033,0.03197,0.047353,0,0,1,2,0,0,0,0,0,0,0,169.5,,0,0,bulbchange
1100,1774194949.504653,1774194950.504653,3,3,0,1.0,0.0,173.0,172.86700089953547,60,372,87.0,2,0,519.0,2,2,208.33333333333334,80.82903768654761,157.0,174.85136545077364,2,2,117.0,174.85136545077364,2,0.6666666666666666,1,23017.333333333332,1742.0,0,3,0,0,2,0,0,0,0.040476000000000005,0.04339462935663813,0.006399,0.089329,1,2,0,0,0,0,0,0,0,0,0,170.5,,0,0,bulboff
1101,1774194950.2587528,1774194951.2587528,3,3,0,1.0,0.0,173.33333333333334,173.44259376904316,60,373,87.0,2,0,520.0,2,2,208.33333333333334,80.82903768654761,157.33333333333334,175.42614780395004,2,2,117.33333333333333,175.42614780395007,2,0.6666666666666666,1,23365.333333333332,2264.0,0,3,0,0,2,0,0,0,0.023613333333333333,0.020569741280174948,0.008863,0.047111,0,0,0,0,0,0,0,0,1,2,0,171.0,,0,0,plugoff
1102,1774194962.3902075,1774194963.3902075,4,4,0,1.0,0.0,222.5,172.40359625019428,60,372,229.0,2,0,890.0,3,3,220.0,70.0,207.0,174.3043315583408,2,2,167.0,174.3043315583408,3,0.75,2,17943.0,1742.0,0,4,0,0,3,0,0,0,0.02453475,0.024925155972430744,1e-06,0.058561,0,1,0,0,0,0,0,0,1,2,0,217.66666666666666,,0,0,plugon
1103,1774194962.920248,1774194963.920248,6,6,0,1.0,0.0,172.83333333333334,154.35986093109395,60,372,87.0,4,0,1037.0,4,4,208.33333333333334,72.29568912920512,156.83333333333334,156.13509108034194,2,2,116.83333333333333,156.13509108034194,4,0.6666666666666666,2,23371.166666666668,1742.0,0,6,0,0,4,0,0,0,0.021457833333333332,0.021416857821974417,1e-06,0.058561,1,2,0,0,0,0,0,0,1,2,0,170.25,,0,0,bulbon
1104,1774194977.889426,1774194978.889426,4,4,0,1.0,0.0,243.25,284.05677249451384,60,667,123.0,1,1,973.0,2,2,185.0,80.82903768654761,227.75,285.35986052701946,2,2,187.75,285.35986052701946,3,0.75,1,33710.0,1816.0,0,4,0,0,3,0,0,0,0.03774475000000001,0.05680829767663053,0.0024,0.121498,0,0,0,0,0,0,2,2,0,0,0,245.33333333333334,,0,0,movingaroundhouse
1105,1774194981.9934354,1774194982.9934354,3,3,0,1.0,0.0,172.33333333333334,171.71585055938584,60,370,87.0,2,0,517.0,2,2,208.33333333333334,80.82903768654761,156.33333333333334,173.70185184198047,2,2,116.33333333333333,173.7018518419805,2,0.6666666666666666,1,23474.0,2427.0,0,3,0,0,2,0,0,0,0.017498333333333334,0.01630613241493314,0.00283,0.035056,0,0,1,2,0,0,0,0,0,0,0,169.5,,0,0,bulbchange
1106,1774194989.270854,1774194990.270854,3,3,0,1.0,0.0,172.66666666666666,172.2914197902302,60,371,87.0,2,0,518.0,2,2,208.33333333333334,80.82903768654761,156.66666666666666,174.27660007394374,2,2,116.66666666666667,174.27660007394374,2,0.6666666666666666,1,23452.0,2394.0,0,3,0,0,2,0,0,0,0.05808466666666667,0.030202783320967836,0.024691,0.083491,0,0,1,2,0,0,0,0,0,0,0,170.0,,0,0,bulboff
