windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,uniqueSrcIPs,uniqueDstIPs,uniqueSrcPorts,uniqueDstPorts,tcpPacketCount,udpPacketCount
80,1770807829.809892,1770807834.809892,5.0,269.2,302.11868528775244,2.0,2.0,2.0,2.0,5.0,0.0
81,1770807834.809892,1770807839.809892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,1770807839.809892,1770807844.809892,67.0,95.88059701492537,157.56581331910456,3.0,3.0,4.0,4.0,12.0,55.0
83,1770807844.809892,1770807849.809892,1.0,135.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
84,1770807849.809892,1770807854.809892,11.0,168.1818181818182,215.170545466529,4.0,4.0,5.0,5.0,11.0,0.0
85,1770807854.809892,1770807859.809892,59.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,59.0
86,1770807859.809892,1770807864.809892,5.0,269.2,302.11868528775244,2.0,2.0,2.0,2.0,5.0,0.0
87,1770807864.809892,1770807869.809892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,1770807869.809892,1770807874.809892,46.0,82.73913043478261,111.5687002668179,2.0,2.0,2.0,2.0,5.0,41.0
89,1770807874.809892,1770807879.809892,1.0,135.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
90,1770807879.809892,1770807884.809892,7.0,221.0,260.8128319951557,3.0,3.0,4.0,4.0,7.0,0.0
91,1770807884.809892,1770807889.809892,27.0,61.666666666666664,7.54983443527075,3.0,3.0,2.0,2.0,2.0,21.0
92,1770807889.809892,1770807894.809892,97.0,385.30927835051546,511.4771777416032,3.0,3.0,4.0,4.0,97.0,0.0
93,1770807894.809892,1770807899.809892,371.0,155.7088948787062,62.94705112228546,2.0,2.0,2.0,2.0,371.0,0.0
94,1770807899.809892,1770807904.809892,89.0,105.29213483146067,98.54592863772979,3.0,3.0,4.0,4.0,37.0,52.0
95,1770807904.809892,1770807909.809892,1.0,135.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
96,1770807909.809892,1770807914.809892,7.0,221.0,260.8128319951557,3.0,3.0,4.0,4.0,7.0,0.0
97,1770807914.809892,1770807919.809892,51.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,49.0
