windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,uniqueSrcIPs,uniqueDstIPs,uniqueTCPSrcPorts,uniqueTCPDstPorts,uniqueUDPSrcPorts,uniqueUDPDstPorts,TCPPacketCount,UDPPacketCount,label
53409,1773402917.767854,1773402922.767854,7,176.14285714285714,217.84430875545695,3,3,3,3,0,0,7,0,idle
53410,1773402918.767854,1773402923.767854,7,176.14285714285714,217.84430875545695,3,3,3,3,0,0,7,0,idle
53411,1773402919.767854,1773402924.767854,7,176.14285714285714,217.84430875545695,3,3,3,3,0,0,7,0,idle
53412,1773402920.767854,1773402925.767854,3,86.66666666666667,17.8978583448784,2,2,2,2,0,0,3,0,idle
53413,1773402921.767854,1773402926.767854,4,82.5,16.822603841260722,3,3,2,2,1,1,3,1,idle
53414,1773402922.767854,1773402927.767854,12,129.16666666666666,118.71955750142155,4,4,4,4,1,1,7,5,bulbon
53415,1773402923.767854,1773402928.767854,15,117.33333333333333,108.04738819258009,4,4,4,4,1,1,7,8,bulbon
53416,1773402924.767854,1773402929.767854,15,117.33333333333333,108.04738819258009,4,4,4,4,1,1,7,8,bulbon
53417,1773402925.767854,1773402930.767854,21,115.80952380952381,104.01135469150425,6,7,6,6,1,1,13,8,bulbon
53418,1773402926.767854,1773402931.767854,20,118.1,106.1686344800969,6,7,6,6,1,1,13,7,idle
53419,1773402927.767854,1773402932.767854,9,98.0,83.91513570268476,4,5,4,4,1,1,6,3,idle
53420,1773402928.767854,1773402933.767854,6,112.0,102.76769920553832,4,4,4,4,0,0,6,0,idle
53421,1773402929.767854,1773402934.767854,6,112.0,102.76769920553832,4,4,4,4,0,0,6,0,idle
53424,1773402932.767854,1773402937.767854,9,184.44444444444446,153.36729696313284,3,3,4,4,0,0,9,0,bulbchange
53425,1773402933.767854,1773402938.767854,14,173.71428571428572,142.39783304932297,3,3,4,4,0,0,14,0,bulbchange
53426,1773402934.767854,1773402939.767854,14,173.71428571428572,142.39783304932297,3,3,4,4,0,0,14,0,bulbchange
53427,1773402935.767854,1773402940.767854,14,173.71428571428572,142.39783304932297,3,3,4,4,0,0,14,0,bulbchange
53428,1773402936.767854,1773402941.767854,14,173.71428571428572,142.39783304932297,3,3,4,4,0,0,14,0,idle
53429,1773402937.767854,1773402942.767854,7,126.57142857142857,119.79128674887995,3,4,5,4,0,0,7,0,idle
53430,1773402938.767854,1773402943.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
