frame.time_epoch,frame.time_delta,frame.len,ip.src,ip.dst,ip.proto,ip.ttl,ip.len,tcp.len,tcp.flags,tcp.stream,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,dns.qry.name,tcp.window_size_value,tls.record.length,tls.handshake.type,udp.length
1774113303.219321000,0.004835000,60,192.168.0.52,3.248.160.245,6,255,40,0,0x0010,10,52433,443,,,,2468,,,
1774113316.288194000,0.045960000,667,192.168.0.200,54.75.203.10,6,255,653,613,0x0018,19,52536,443,,,,2575,608,,
1774113316.316026000,0.027832000,123,54.75.203.10,192.168.0.200,6,115,109,69,0x0018,19,443,52536,,,,65535,64,,
1774113316.317502000,0.001476000,123,54.75.203.10,192.168.0.200,6,115,109,69,0x0018,19,443,52536,,,,65535,64,,
1774113316.319552000,0.002050000,60,192.168.0.200,54.75.203.10,6,255,40,0,0x0010,19,52536,443,,,,2437,,,
1774113317.533895000,0.010712000,372,192.168.0.59,52.50.169.45,6,255,358,318,0x0018,81,52433,443,,,,2790,313,,
1774113317.560448000,0.007187000,87,52.50.169.45,192.168.0.59,6,115,73,33,0x0018,81,443,52433,,,,64108,28,,
1774113317.789325000,0.061945000,60,192.168.0.59,52.50.169.45,6,255,40,0,0x0010,81,52433,443,,,,2757,,,
1774113319.972545000,0.036470000,97,192.168.0.55,54.75.203.10,6,64,83,31,0x0018,5,52702,443,,,,5283,26,,
1774113320.000309000,0.027764000,97,54.75.203.10,192.168.0.55,6,115,83,31,0x0018,5,443,52702,,,,503,26,,
1774113320.003068000,0.002759000,66,192.168.0.55,54.75.203.10,6,64,52,0,0x0010,5,52702,443,,,,5283,,,
1774113326.276481000,0.123134000,315,192.168.0.200,54.75.203.10,6,255,301,261,0x0018,19,52536,443,,,,2437,256,,
1774113326.301909000,0.014680000,123,54.75.203.10,192.168.0.200,6,115,109,69,0x0018,19,443,52536,,,,65535,64,,
1774113326.537345000,0.099732000,60,192.168.0.200,54.75.203.10,6,255,40,0,0x0010,19,52536,443,,,,2368,,,
