windowID,windowStart,windowEnd,packetCount,tcpPacketCount,avgPacketLength,stdPacketLength,minPacketLength,maxPacketLength,medianPacketLength,smallPacketCount,largePacketCount,packetsPerSecond,uniqueSrcIPs,uniqueDstIPs,avgTTL,stdTTL,avgIPLen,stdIPLen,uniqueTCPSrcPorts,uniqueTCPDstPorts,avgTCPLen,stdTCPLen,tcpPayloadPacketCount,tcpPayloadPacketRatio,avgTCPWindowSize,ackCount,avgInterArrivalTime,stdInterArrivalTime,packetsTobedroomBulb,packetsFrombedroomBulb,packetsToloungeBulb,packetsFromloungeBulb,packetsTocamera,packetsFromcamera,packetsTomotionSensor,packetsFrommotionSensor,packetsToplug,packetsFromplug,packetsToalexa,packetsFromalexa,tlsHandshakeCount,avgTLSRecordLen,stdTLSRecordLen,avgACKRoundTripTime,stdACKRoundTripTime,avgTimeDelta,stdTimeDelta,label
2451,1774379074.9176278,1774379076.9176278,2,2,229.5,201.52543263816605,87,372,229.5,1,0,229.5,2,2,185.0,98.99494936611666,215.5,201.52543263816605,2,2,175.5,201.52543263816605,2,1.0,34030.5,2,0.0011545000000000001,0.00015061374439273454,0,0,0,0,0,0,0,0,1,1,0,0,0,170.5,201.52543263816605,0.036044,,0.0011545000000000001,0.00015061374439273454,plugOn
2452,1774379111.317861,1774379113.317861,3,3,173.33333333333334,173.44259376904316,60,373,87.0,2,0,260.0,2,2,208.33333333333334,80.82903768654761,157.33333333333334,175.42614780395004,2,2,117.33333333333333,175.42614780395007,2,0.6666666666666666,23496.0,3,0.009457333333333333,0.015589308269879497,0,0,0,0,0,0,0,0,1,2,0,0,0,171.0,202.2325394193526,0.457244,0.5942016272209291,0.009457333333333333,0.015589308269879497,plugOff
2453,1774379118.528575,1774379120.528575,3,3,173.0,172.86700089953547,60,372,87.0,2,0,259.5,2,2,208.33333333333334,80.82903768654761,157.0,174.85136545077364,2,2,117.0,174.85136545077364,2,0.6666666666666666,23453.333333333332,3,0.002215,0.0023001669504625092,0,0,0,0,0,0,0,0,1,2,0,0,0,170.5,201.52543263816605,0.303669,0.3787150782950159,0.002215,0.0023001669504625092,plugOn
2454,1774379143.7878804,1774379145.7878804,3,3,173.33333333333334,173.44259376904316,60,373,87.0,2,0,260.0,2,2,208.33333333333334,80.82903768654761,157.33333333333334,175.42614780395004,2,2,117.33333333333333,175.42614780395007,2,0.6666666666666666,23431.333333333332,3,0.0011296666666666666,0.0014223154830533672,0,0,0,0,0,0,0,0,1,2,0,0,0,171.0,202.2325394193526,0.1449215,0.16408624989468193,0.0011296666666666666,0.0014223154830533672,plugOff
2455,1774379156.085442,1774379158.085442,8,3,108.625,106.67565996313981,60,372,70.0,7,0,434.5,3,3,237.5,49.49747468305833,93.875,107.08666383555223,2,2,117.0,174.85136545077364,2,0.6666666666666666,23409.333333333332,3,0.014479625000000001,0.019841184360800786,0,0,0,0,0,0,0,5,1,2,0,0,0,170.5,201.52543263816605,0.13735150000000002,0.15387138533366104,0.01659,0.010871811302630303,plugOn
2456,1774379189.575378,1774379191.575378,2,2,230.0,202.2325394193526,87,373,230.0,1,0,230.0,2,2,185.0,98.99494936611666,216.0,202.2325394193526,2,2,176.0,202.2325394193526,2,1.0,33932.5,2,0.0018340000000000001,0.0015711912677965085,0,0,0,0,0,0,0,0,1,1,0,0,0,171.0,202.2325394193526,0.028926,,0.0018340000000000001,0.0015711912677965085,plugOff
2457,1774379205.2666655,1774379207.2666655,3,3,173.0,172.86700089953547,60,372,87.0,2,0,259.5,2,2,208.33333333333334,80.82903768654761,157.0,174.85136545077364,2,2,117.0,174.85136545077364,2,0.6666666666666666,23365.333333333332,3,0.0021550000000000002,0.0018526081614847756,0,0,0,0,0,0,0,0,1,2,0,0,0,170.5,201.52543263816605,0.1441215,0.15880981909346792,0.0021550000000000002,0.0018526081614847756,plugOn
2458,1774379225.902701,1774379227.902701,3,3,173.33333333333334,173.44259376904316,60,373,87.0,2,0,260.0,2,2,208.33333333333334,80.82903768654761,157.33333333333334,175.42614780395004,2,2,117.33333333333333,175.42614780395007,2,0.6666666666666666,23343.333333333332,3,0.0027849999999999997,0.00408003970568915,0,0,0,0,0,0,0,0,1,2,0,0,0,171.0,202.2325394193526,0.283094,0.35461546497861596,0.0027849999999999997,0.00408003970568915,plugOff
2459,1774379231.7381492,1774379233.7381492,28,28,463.64285714285717,644.372345446885,60,2962,119.0,12,9,6491.0,4,4,181.25,85.9386624500504,449.2142857142857,644.6526114257114,3,3,400.2142857142857,643.3468828246637,19,0.6785714285714286,9476.07142857143,28,0.006341642857142857,0.012990730738760775,3,4,0,0,0,0,0,0,0,0,13,8,0,386.25,425.6351332616548,0.2786476666666667,0.23319136411669722,0.006341642857142857,0.012990730738760775,alexaBulbOff
2460,1774379234.244561,1774379236.244561,3,3,173.0,172.86700089953547,60,372,87.0,2,0,259.5,2,2,208.33333333333334,80.82903768654761,157.0,174.85136545077364,2,2,117.0,174.85136545077364,2,0.6666666666666666,23321.333333333332,3,0.003807333333333333,0.0049189678117805705,0,0,0,0,0,0,0,0,1,2,0,0,0,170.5,201.52543263816605,0.3855205,0.49865665184022157,0.003807333333333333,0.0049189678117805705,plugOn
2461,1774379258.515835,1774379260.515835,6,6,125.0,122.14581450053866,60,373,85.0,5,0,375.0,4,4,208.33333333333334,72.29568912920512,109.0,123.4552550521848,3,3,69.0,123.4552550521848,4,0.6666666666666666,23256.833333333332,6,0.0005601666666666666,0.0005137386170677329,0,0,1,2,0,0,0,0,1,2,0,0,0,98.5,143.6697602141801,0.25094700000000003,0.2607712942957232,0.0005601666666666666,0.0005137386170677329,plugOff
2462,1774379270.089261,1774379272.089261,6,6,143.5,116.24241910765622,66,372,111.0,3,0,430.5,4,4,165.0,93.94040664165766,129.5,116.24241910765622,3,3,81.5,119.9012093350188,4,0.6666666666666666,13318.166666666666,6,0.0007258333333333332,0.0007256945408825029,0,0,0,0,0,0,0,0,1,1,2,2,0,117.25,131.59882218317912,0.22757633333333335,0.3265464471194463,0.0007258333333333332,0.0007256945408825029,plugOn
