windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,uniqueSrcIPs,uniqueDstIPs,uniqueSrcPorts,uniqueDstPorts,tcpPacketCount,udpPacketCount,label
322,1773351118.767854,1773351123.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
323,1773351123.767854,1773351128.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
324,1773351128.767854,1773351133.767854,3,86.66666666666667,17.8978583448784,2,2,2,2,3,0,idle
325,1773351133.767854,1773351138.767854,13,143.30769230769232,134.54886634935812,4,4,5,5,13,0,bulbchange
326,1773351138.767854,1773351143.767854,8,70.0,0.0,1,1,0,0,0,8,idle
328,1773351148.767854,1773351153.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
329,1773351153.767854,1773351158.767854,14,139.35714285714286,129.99976753994432,3,3,4,4,14,0,bulboff
331,1773351163.767854,1773351168.767854,12,150.16666666666666,137.93597548621364,4,4,5,5,12,0,bulbon
332,1773351168.767854,1773351173.767854,3,176.66666666666666,102.2953241029781,2,2,2,2,3,0,idle
333,1773351173.767854,1773351178.767854,3,76.66666666666667,14.433756729740647,2,2,2,2,3,0,idle
334,1773351178.767854,1773351183.767854,9,64.22222222222223,12.049665739946667,4,4,5,5,9,0,idle
335,1773351183.767854,1773351188.767854,3,86.66666666666667,17.8978583448784,2,2,2,2,3,0,idle
337,1773351193.767854,1773351198.767854,16,127.3125,125.17013421739229,4,4,5,5,16,0,bulboff
338,1773351198.767854,1773351203.767854,12,79.0,19.51223392457339,3,4,0,0,0,12,bulboff
340,1773351208.767854,1773351213.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,bulbon
341,1773351213.767854,1773351218.767854,24,198.875,147.20388478451298,3,3,4,4,24,0,bulbon
344,1773351228.767854,1773351233.767854,8,82.875,33.28851153175822,4,4,4,4,8,0,idle
346,1773351238.767854,1773351243.767854,3,86.66666666666667,17.8978583448784,2,2,2,2,3,0,idle
347,1773351243.767854,1773351248.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
349,1773351253.767854,1773351258.767854,151,966.8741721854304,1128.1351296402731,5,5,4,4,149,2,idle
350,1773351258.767854,1773351263.767854,2586,1137.8789636504255,1066.02817290253,5,5,4,4,2584,2,idle
351,1773351263.767854,1773351268.767854,1008,1084.6458333333333,1043.525491020527,7,7,3,3,994,14,idle
