frame.time_epoch,ip.src,ip.dst,ip.ttl,tcp.flags,tcp.window_size_value,ip.proto,frame.len,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
1770808140.472142000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808140.472291000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808140.472394000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808140.472532000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808140.472639000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808140.472785000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808140.472880000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808140.473033000,81.20.48.146,192.168.0.35,57,0x0018,242,6,2294,443,50130,,
1770808140.482781000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770808140.483815000,192.168.0.35,81.20.48.146,64,0x0010,400,6,60,50130,443,,
1770808140.489218000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770808140.499915000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808140.522938000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770808140.524911000,192.168.0.35,81.20.48.146,64,0x0010,0,6,66,50130,443,,
1770808140.525666000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770808140.563391000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770808140.564455000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770808140.606403000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770808140.607431000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770808140.646109000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770808140.647116000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770808140.659172000,192.168.0.35,81.20.48.146,64,0x0010,400,6,60,50130,443,,
1770808140.676497000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808140.676593000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808140.676743000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808140.676840000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808140.676989000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808140.677086000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808140.677201000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1426,443,50130,,
1770808140.677346000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808140.677452000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808140.677592000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808140.677699000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808140.677838000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808140.677944000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808140.678091000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808140.678185000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808140.678335000,81.20.48.146,192.168.0.35,57,0x0010,242,6,1514,443,50130,,
1770808140.678439000,81.20.48.146,192.168.0.35,57,0x0018,242,6,1514,443,50130,,
1770808140.687292000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770808140.690959000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770808140.717552000,192.168.0.35,81.20.48.146,64,0x0010,14,6,60,50130,443,,
1770808140.728049000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770808140.730504000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770808140.768656000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770808140.770062000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770808140.809064000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770808140.811081000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770808140.849899000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
