windowID,windowStart,windowEnd,packetCount,tcpPacketCount,udpPacketCount,tcpRatio,udpRatio,avgPacketLength,stdPacketLength,minPacketLength,maxPacketLength,medianPacketLength,smallPacketCount,largePacketCount,throughput,uniqueSrcIPs,uniqueDstIPs,avgTTL,stdTTL,avgIPLen,stdIPLen,uniqueTCPSrcPorts,uniqueTCPDstPorts,avgTCPLen,stdTCPLen,tcpPayloadPacketCount,tcpPayloadPacketRatio,uniqueTCPStreams,avgTCPWindowSize,minTCPWindowSize,tcpSynCount,tcpAckCount,tcpFinCount,tcpRstCount,tcpPshCount,tcpSynOnlyCount,uniqueUDPSrcPorts,uniqueUDPDstPorts,avgInterArrivalTime,stdInterArrivalTime,minInterArrivalTime,maxInterArrivalTime,packetTo_loungeBulb,packetFrom_loungeBulb,packetTo_bedroomBulb,packetFrom_bedroomBulb,packetTo_camera,packetFrom_camera,packetTo_hub,packetFrom_hub,packetTo_plug,packetFrom_plug,tlsHandshakeCount,avgTLSRecordLen,avgUDPLen,DNSQueryCount,uniqueDNSQueries,label
229,1774115977.352223,1774115978.352223,4,4,0,1.0,0.0,243.25,284.05677249451384,60,667,123.0,1,1,973.0,2,2,185.0,80.82903768654761,227.75,285.35986052701946,2,2,187.75,285.35986052701946,3,0.75,1,34193.0,2782.0,0,4,0,0,3,0,0,0,0.0151415,0.014813899722895386,0.001448,0.035332,0,0,0,0,0,0,2,2,0,0,0,245.33333333333334,,0,0,movingAroundHouse
230,1774115982.5562391,1774115983.5562391,3,3,0,1.0,0.0,172.66666666666666,172.2914197902302,60,371,87.0,2,0,518.0,2,2,208.33333333333334,80.82903768654761,156.66666666666666,174.27660007394374,2,2,116.66666666666667,174.27660007394374,2,0.6666666666666666,1,22735.0,2070.0,0,3,0,0,2,0,0,0,0.035451333333333335,0.02854998084646176,0.010302,0.066485,0,0,1,2,0,0,0,0,0,0,0,170.0,,0,0,bulbOff
231,1774116006.8095808,1774116007.8095808,3,3,0,1.0,0.0,172.33333333333334,171.71585055938584,60,370,87.0,2,0,517.0,2,2,208.33333333333334,80.82903768654761,156.33333333333334,173.70185184198047,2,2,116.33333333333333,173.7018518419805,2,0.6666666666666666,1,22713.0,2037.0,0,3,0,0,2,0,0,0,0.016787,0.012802782783442044,0.00203,0.02493,0,0,1,2,0,0,0,0,0,0,0,169.5,,0,0,bulbOn
232,1774116012.898922,1774116013.898922,3,3,0,1.0,0.0,172.33333333333334,171.71585055938584,60,370,87.0,2,0,517.0,2,2,208.33333333333334,80.82903768654761,156.33333333333334,173.70185184198047,2,2,116.33333333333333,173.7018518419805,2,0.6666666666666666,1,22691.0,2004.0,0,3,0,0,2,0,0,0,0.040614333333333336,0.018238339078253077,0.024523,0.060426,0,0,1,2,0,0,0,0,0,0,0,169.5,,0,0,bulbChange
233,1774116039.5781994,1774116040.5781994,3,3,0,1.0,0.0,173.33333333333334,173.44259376904316,60,373,87.0,2,0,520.0,2,2,208.33333333333334,80.82903768654761,157.33333333333334,175.42614780395004,2,2,117.33333333333333,175.42614780395007,2,0.6666666666666666,1,22891.0,2266.0,0,3,0,0,2,0,0,0,0.04013833333333334,0.05036679227758438,0.002186,0.097279,0,0,0,0,0,0,0,0,1,2,0,171.0,,0,0,plugOff
234,1774116049.0817494,1774116050.0817494,3,3,0,1.0,0.0,172.33333333333334,171.71585055938584,60,370,87.0,2,0,517.0,2,2,208.33333333333334,80.82903768654761,156.33333333333334,173.70185184198047,2,2,116.33333333333333,173.7018518419805,2,0.6666666666666666,1,22974.333333333332,2429.0,0,3,0,0,2,0,0,0,0.06725133333333333,0.09278529789968523,0.002999,0.173626,1,2,0,0,0,0,0,0,0,0,0,169.5,,0,0,bulbChange
235,1774116049.707804,1774116050.707804,4,4,0,1.0,0.0,144.75,152.03371336647672,60,372,73.5,3,0,579.0,3,3,220.0,70.0,127.75,154.2862599196701,2,2,87.75,154.2862599196701,2,0.5,2,17759.0,2233.0,0,4,0,0,2,0,0,0,0.045366000000000004,0.08552840462676713,0.00031,0.173626,0,1,0,0,0,0,0,0,1,2,0,170.5,,0,0,plugOn
236,1774116089.0787024,1774116090.0787024,3,3,0,1.0,0.0,172.66666666666666,172.2914197902302,60,371,87.0,2,0,518.0,2,2,208.33333333333334,80.82903768654761,156.66666666666666,174.27660007394374,2,2,116.66666666666667,174.27660007394374,2,0.6666666666666666,1,22952.333333333332,2396.0,0,3,0,0,2,0,0,0,0.04545466666666667,0.07575047623172632,0.000852,0.132918,1,2,0,0,0,0,0,0,0,0,0,170.0,,0,0,bulbOff
237,1774116104.4332557,1774116105.4332557,3,3,0,1.0,0.0,172.33333333333334,171.71585055938584,60,370,87.0,2,0,517.0,2,2,208.33333333333334,80.82903768654761,156.33333333333334,173.70185184198047,2,2,116.33333333333333,173.7018518419805,2,0.6666666666666666,1,22909.666666666668,2332.0,0,3,0,0,2,0,0,0,0.03629,0.05590005580498109,0.001933,0.100792,1,2,0,0,0,0,0,0,0,0,0,169.5,,0,0,bulbOn
238,1774116106.5839186,1774116107.5839186,3,3,0,1.0,0.0,172.33333333333334,171.71585055938584,60,370,87.0,2,0,517.0,2,2,208.33333333333334,80.82903768654761,156.33333333333334,173.70185184198047,2,2,116.33333333333333,173.7018518419805,2,0.6666666666666666,1,22887.666666666668,2299.0,0,3,0,0,2,0,0,0,0.02970766666666667,0.017163500002427633,0.014488,0.048311,1,2,0,0,0,0,0,0,0,0,0,169.5,,0,0,bulbChange
