windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,uniqueSrcIPs,uniqueDstIPs,uniqueSrcPorts,uniqueDstPorts,tcpPacketCount,udpPacketCount,label
136,1770808109.809892,1770808114.809892,248,951.9758064516129,719.0276831450243,3,3,4,4,195,53,alexa_continuousStream
137,1770808114.809892,1770808119.809892,3,85.0,43.30127018922193,1,1,1,1,1,0,alexa_continuousStream
138,1770808119.809892,1770808124.809892,7,220.71428571428572,260.4583871342434,3,3,4,4,7,0,alexa_continuousStream
139,1770808124.809892,1770808129.809892,56,73.07142857142857,53.317865722427456,3,3,3,2,10,46,alexa_continuousStream
140,1770808129.809892,1770808134.809892,430,1052.4511627906977,684.8113116577458,3,3,6,5,430,0,alexa_continuousStream
141,1770808134.809892,1770808139.809892,116,1190.8275862068965,634.8991330482562,2,2,3,2,116,0,alexa_continuousStream
142,1770808139.809892,1770808144.809892,130,864.0307692307692,747.1904475683482,3,3,5,4,99,31,alexa_continuousStream
143,1770808144.809892,1770808149.809892,179,1232.2625698324023,591.2081548449383,3,2,2,3,179,0,alexa_continuousStream
144,1770808149.809892,1770808154.809892,191,1111.4293193717278,671.4544809426437,4,4,5,5,189,0,alexa_continuousStream
145,1770808154.809892,1770808159.809892,177,801.2598870056497,751.9002292872772,4,4,4,3,116,61,alexa_continuousStream
146,1770808159.809892,1770808164.809892,117,1182.5982905982905,665.7416406279679,3,3,4,4,117,0,alexa_continuousStream
147,1770808164.809892,1770808169.809892,193,1271.1813471502592,614.9209749907645,2,2,2,2,193,0,alexa_continuousStream
148,1770808169.809892,1770808174.809892,142,985.3239436619718,728.204072298416,3,3,4,4,117,25,alexa_continuousStream
149,1770808174.809892,1770808179.809892,112,1231.642857142857,637.7015577096206,3,3,3,3,112,0,alexa_continuousStream
150,1770808179.809892,1770808184.809892,170,1146.1764705882354,672.4227533378123,4,3,4,5,168,0,alexa_continuousStream
151,1770808184.809892,1770808189.809892,288,896.3472222222222,740.5503680761778,3,3,3,2,233,55,alexa_continuousStream
152,1770808189.809892,1770808194.809892,116,1134.0344827586207,651.1640804514365,3,3,4,4,116,0,alexa_continuousStream
153,1770808194.809892,1770808199.809892,139,1106.7194244604316,643.720346482095,2,2,2,2,139,0,alexa_continuousStream
154,1770808199.809892,1770808204.809892,217,907.0506912442396,746.1800449325476,3,3,4,4,159,58,alexa_continuousStream
155,1770808204.809892,1770808209.809892,9,141.33333333333334,185.2478070045635,3,3,4,3,9,0,alexa_continuousStream
156,1770808209.809892,1770808214.809892,101,354.56435643564356,561.6821239071363,4,4,6,7,99,0,alexa_continuousStream
157,1770808214.809892,1770808219.809892,56,60.0,0.0,2,2,0,0,0,56,idle
158,1770808219.809892,1770808224.809892,5,268.8,301.7394571480501,2,2,2,2,5,0,idle
160,1770808229.809892,1770808234.809892,63,76.57142857142857,95.4508342087804,2,2,2,2,5,58,idle
162,1770808239.809892,1770808244.809892,9,194.0,232.34995158166052,3,3,4,4,9,0,idle
163,1770808244.809892,1770808249.809892,52,61.96153846153846,7.92356014868722,3,3,2,2,4,46,idle
164,1770808249.809892,1770808254.809892,5,268.8,301.7394571480501,2,2,2,2,5,0,idle
166,1770808259.809892,1770808264.809892,59,77.69491525423729,98.58485828992416,2,2,2,2,5,54,idle
167,1770808264.809892,1770808269.809892,1,135.0,,1,1,1,1,1,0,idle
168,1770808269.809892,1770808274.809892,8,210.0,243.03438910103705,3,3,4,4,8,0,idle
169,1770808274.809892,1770808279.809892,40,60.0,0.0,2,2,0,0,0,38,idle
170,1770808279.809892,1770808284.809892,6,237.0,280.8999822000706,2,2,2,2,6,0,idle
172,1770808289.809892,1770808294.809892,64,76.3125,94.71291207795126,2,2,2,2,5,59,idle
173,1770808294.809892,1770808299.809892,1,135.0,,1,1,1,1,1,0,idle
174,1770808299.809892,1770808304.809892,14,230.5,294.72118505984076,3,3,4,4,14,0,idle
175,1770808304.809892,1770808309.809892,57,60.0,0.0,2,2,0,0,0,55,idle
176,1770808309.809892,1770808314.809892,5,268.8,301.7394571480501,2,2,2,2,5,0,idle
178,1770808319.809892,1770808324.809892,57,78.3157894736842,100.27215784602302,2,2,2,2,5,52,idle
179,1770808324.809892,1770808329.809892,1,135.0,,1,1,1,1,1,0,idle
180,1770808329.809892,1770808334.809892,7,220.71428571428572,260.4583871342434,3,3,4,4,7,0,idle
181,1770808334.809892,1770808339.809892,58,60.775862068965516,5.16752037128629,3,3,2,2,2,54,idle
182,1770808339.809892,1770808344.809892,5,268.8,301.7394571480501,2,2,2,2,5,0,idle
184,1770808349.809892,1770808354.809892,63,76.57142857142857,95.4508342087804,2,2,2,2,5,58,idle
185,1770808354.809892,1770808359.809892,1,135.0,,1,1,1,1,1,0,idle
186,1770808359.809892,1770808364.809892,7,220.71428571428572,260.4583871342434,3,3,4,4,7,0,idle
187,1770808364.809892,1770808369.809892,58,60.0,0.0,2,2,0,0,0,56,idle
188,1770808369.809892,1770808374.809892,5,268.8,301.7394571480501,2,2,2,2,5,0,idle
190,1770808379.809892,1770808384.809892,55,78.98181818181818,102.04909691819027,2,2,2,2,5,50,idle
191,1770808384.809892,1770808389.809892,1,135.0,,1,1,1,1,1,0,idle
192,1770808389.809892,1770808394.809892,7,220.71428571428572,260.4583871342434,3,3,4,4,7,0,idle
193,1770808394.809892,1770808399.809892,76,86.5,57.860637166672596,6,6,2,2,11,33,idle
194,1770808399.809892,1770808404.809892,45,404.4,547.3791024675511,5,5,5,5,43,2,idle
196,1770808409.809892,1770808414.809892,386,201.7901554404145,296.77202760766596,3,3,4,4,326,60,alexa_command
197,1770808414.809892,1770808419.809892,1,135.0,,1,1,1,1,1,0,idle
198,1770808419.809892,1770808424.809892,8,201.375,247.26384837716517,3,3,4,4,8,0,idle
199,1770808424.809892,1770808429.809892,58,60.775862068965516,5.16752037128629,3,3,2,2,2,54,idle
200,1770808429.809892,1770808434.809892,5,268.8,301.7394571480501,2,2,2,2,5,0,idle
202,1770808439.809892,1770808444.809892,64,76.3125,94.71291207795126,2,2,2,2,5,59,idle
203,1770808444.809892,1770808449.809892,1,135.0,,1,1,1,1,1,0,idle
204,1770808449.809892,1770808454.809892,7,220.71428571428572,260.4583871342434,3,3,4,4,7,0,idle
205,1770808454.809892,1770808459.809892,61,60.0,0.0,2,2,0,0,0,59,idle
206,1770808459.809892,1770808464.809892,5,268.8,301.7394571480501,2,2,2,2,5,0,idle
208,1770808469.809892,1770808474.809892,26,100.15384615384616,147.00386180170707,2,2,2,2,5,21,idle
209,1770808474.809892,1770808479.809892,8,231.125,334.2015805297327,2,2,2,2,8,0,idle
210,1770808479.809892,1770808484.809892,9,185.0,236.4344518043003,3,3,4,4,7,0,idle
211,1770808484.809892,1770808489.809892,55,60.0,0.0,2,2,0,0,0,55,idle
212,1770808489.809892,1770808494.809892,5,268.8,301.7394571480501,2,2,2,2,5,0,idle
214,1770808499.809892,1770808504.809892,53,79.69811320754717,103.92389687904034,2,2,2,2,5,48,idle
215,1770808504.809892,1770808509.809892,1,135.0,,1,1,1,1,1,0,idle
216,1770808509.809892,1770808514.809892,7,220.71428571428572,260.4583871342434,3,3,4,4,7,0,idle
217,1770808514.809892,1770808519.809892,62,60.725806451612904,4.998915799954992,3,3,2,2,2,60,idle
218,1770808519.809892,1770808524.809892,7,220.0,260.0839608024045,3,2,2,2,5,0,idle
220,1770808529.809892,1770808534.809892,57,78.3157894736842,100.27215784602302,2,2,2,2,5,52,idle
221,1770808534.809892,1770808539.809892,1,135.0,,1,1,1,1,1,0,idle
222,1770808539.809892,1770808544.809892,7,220.71428571428572,260.4583871342434,3,3,4,4,7,0,idle
223,1770808544.809892,1770808549.809892,52,60.0,0.0,2,2,0,0,0,50,idle
224,1770808549.809892,1770808554.809892,5,268.8,301.7394571480501,2,2,2,2,5,0,idle
226,1770808559.809892,1770808564.809892,55,78.98181818181818,102.04909691819027,2,2,2,2,5,50,idle
227,1770808564.809892,1770808569.809892,1,135.0,,1,1,1,1,1,0,idle
228,1770808569.809892,1770808574.809892,7,220.71428571428572,260.4583871342434,3,3,4,4,7,0,idle
229,1770808574.809892,1770808579.809892,60,60.0,0.0,2,2,0,0,0,60,idle
230,1770808579.809892,1770808584.809892,5,268.8,301.7394571480501,2,2,2,2,5,0,idle
232,1770808589.809892,1770808594.809892,65,76.06153846153846,93.99183424024751,2,2,2,2,5,60,idle
234,1770808599.809892,1770808604.809892,8,210.0,243.03438910103705,3,3,4,4,8,0,idle
235,1770808604.809892,1770808609.809892,59,60.76271186440678,5.123774817560165,3,3,2,2,2,55,idle
236,1770808609.809892,1770808614.809892,5,268.8,301.7394571480501,2,2,2,2,5,0,idle
238,1770808619.809892,1770808624.809892,66,75.81818181818181,93.28696983640724,2,2,2,2,5,61,idle
240,1770808629.809892,1770808634.809892,8,210.0,243.03438910103705,3,3,4,4,8,0,idle
241,1770808634.809892,1770808639.809892,19,60.0,0.0,2,2,0,0,0,19,idle
242,1770808639.809892,1770808644.809892,9,183.0,236.68174834574802,3,3,4,4,9,0,idle
244,1770808649.809892,1770808654.809892,65,76.06153846153846,93.99183424024751,2,2,2,2,5,60,idle
246,1770808659.809892,1770808664.809892,8,210.0,243.03438910103705,3,3,4,4,8,0,idle
247,1770808664.809892,1770808669.809892,53,60.0,0.0,2,2,0,0,0,51,idle
248,1770808669.809892,1770808674.809892,5,268.8,301.7394571480501,2,2,2,2,5,0,idle
250,1770808679.809892,1770808684.809892,16,125.25,185.12212185473675,2,2,2,2,5,11,idle
251,1770808684.809892,1770808689.809892,1,135.0,,1,1,1,1,1,0,idle
252,1770808689.809892,1770808694.809892,7,220.71428571428572,260.4583871342434,3,3,4,4,7,0,idle
