frame.time_epoch,ip.src,ip.dst,ip.ttl,tcp.flags,tcp.window_size_value,ip.proto,frame.len,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
1770657931.076853000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770657931.084815000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770657932.869767000,192.168.0.35,194.168.4.123,64,,,17,86,,,12289,53
1770657932.894968000,194.168.4.123,192.168.0.35,56,,,17,124,,,53,12289
1770657932.901682000,192.168.0.35,44.215.129.154,64,0x0002,29200,6,74,40248,443,,
1770657933.058740000,44.215.129.154,192.168.0.35,242,0x0012,64296,6,74,443,40248,,
1770657933.060457000,192.168.0.35,44.215.129.154,64,0x0010,457,6,66,40248,443,,
1770657933.061052000,192.168.0.35,44.215.129.154,64,0x0018,457,6,432,40248,443,,
1770657933.214815000,44.215.129.154,192.168.0.35,242,0x0010,502,6,66,443,40248,,
1770657933.214965000,44.215.129.154,192.168.0.35,242,0x0010,502,6,1434,443,40248,,
1770657933.215056000,44.215.129.154,192.168.0.35,242,0x0018,502,6,1434,443,40248,,
1770657933.215172000,44.215.129.154,192.168.0.35,242,0x0018,502,6,1426,443,40248,,
1770657933.218653000,44.215.129.154,192.168.0.35,242,0x0018,502,6,469,443,40248,,
1770657933.220348000,192.168.0.35,44.215.129.154,64,0x0010,499,6,66,40248,443,,
1770657933.220372000,192.168.0.35,44.215.129.154,64,0x0010,542,6,66,40248,443,,
1770657933.220662000,192.168.0.35,44.215.129.154,64,0x0010,585,6,66,40248,443,,
1770657933.221504000,192.168.0.35,44.215.129.154,64,0x0010,628,6,66,40248,443,,
1770657933.258050000,192.168.0.35,44.215.129.154,64,0x0018,628,6,108,40248,443,,
1770657933.258286000,192.168.0.35,44.215.129.154,64,0x0018,628,6,72,40248,443,,
1770657933.258460000,192.168.0.35,44.215.129.154,64,0x0018,628,6,111,40248,443,,
1770657933.414028000,44.215.129.154,192.168.0.35,242,0x0010,502,6,66,443,40248,,
1770657933.414028000,44.215.129.154,192.168.0.35,242,0x0018,502,6,117,443,40248,,
1770657933.418420000,192.168.0.35,44.215.129.154,64,0x0018,628,6,675,40248,443,,
1770657933.418644000,192.168.0.35,44.215.129.154,64,0x0018,628,6,500,40248,443,,
1770657933.573077000,44.215.129.154,192.168.0.35,242,0x0010,502,6,66,443,40248,,
1770657933.607213000,44.215.129.154,192.168.0.35,242,0x0018,502,6,651,443,40248,,
1770657933.607214000,44.215.129.154,192.168.0.35,242,0x0018,502,6,97,443,40248,,
1770657933.609057000,44.215.129.154,192.168.0.35,242,0x0011,502,6,66,443,40248,,
