frame.time_epoch,ip.src,ip.dst,ip.ttl,tcp.flags,tcp.window_size_value,ip.proto,frame.len,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
1770659339.649886000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659339.650116000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659339.659463000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659339.669152000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659339.681567000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659339.689939000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659339.701020000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659339.710680000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659339.720173000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659339.731406000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659339.743895000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659339.743895000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659339.764256000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659339.772911000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659339.774482000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659339.793690000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659339.803412000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659339.814411000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659339.824907000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659339.826692000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659339.845920000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
