frame.time_epoch,frame.time_delta,frame.len,ip.src,ip.dst,ip.proto,ip.ttl,ip.len,tcp.len,tcp.flags,tcp.time_relative,tcp.stream,tcp.analysis.ack_rtt,tcp.time_delta,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,dns.qry.name,tcp.window_size_value,tls.record.length,tls.handshake.type,tls.record.content_type,udp.length
1776411998.054912000,0.000055000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776411998.355011000,0.021136000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776411998.650892000,0.017766000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776411998.960842000,0.168831000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776411999.246236000,0.024006000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776411999.553679000,0.000000000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776411999.850199000,0.064420000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776412000.148780000,0.128514000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
1776412004.752793000,0.106794000,98,192.168.0.35,192.168.0.1,1,64,84,,,,,,,,,,,,,,,,
1776412004.754458000,0.001665000,98,192.168.0.1,192.168.0.35,1,64,84,,,,,,,,,,,,,,,,
1776412004.758403000,0.003945000,98,192.168.0.35,192.168.0.1,1,64,84,,,,,,,,,,,,,,,,
1776412004.760154000,0.001751000,98,192.168.0.1,192.168.0.35,1,64,84,,,,,,,,,,,,,,,,
1776412004.769484000,0.009330000,98,192.168.0.35,192.168.0.1,1,64,84,,,,,,,,,,,,,,,,
1776412004.771686000,0.002202000,98,192.168.0.1,192.168.0.35,1,64,84,,,,,,,,,,,,,,,,
1776412004.777534000,0.005848000,98,192.168.0.35,192.168.0.1,1,64,84,,,,,,,,,,,,,,,,
1776412004.778762000,0.001228000,98,192.168.0.1,192.168.0.35,1,64,84,,,,,,,,,,,,,,,,
1776412004.780629000,0.001867000,98,192.168.0.35,192.168.0.1,1,64,84,,,,,,,,,,,,,,,,
1776412004.781788000,0.001159000,98,192.168.0.1,192.168.0.35,1,64,84,,,,,,,,,,,,,,,,
1776412004.783533000,0.001745000,98,192.168.0.35,194.168.4.123,1,64,84,,,,,,,,,,,,,,,,
1776412004.803968000,0.020435000,98,194.168.4.123,192.168.0.35,1,57,84,,,,,,,,,,,,,,,,
1776412004.805219000,0.001251000,98,192.168.0.35,194.168.4.123,1,64,84,,,,,,,,,,,,,,,,
1776412004.826272000,0.016697000,98,194.168.4.123,192.168.0.35,1,57,84,,,,,,,,,,,,,,,,
1776412004.833499000,0.007227000,98,192.168.0.35,194.168.4.123,1,64,84,,,,,,,,,,,,,,,,
1776412004.850227000,0.002531000,98,194.168.4.123,192.168.0.35,1,57,84,,,,,,,,,,,,,,,,
1776412004.878254000,0.024007000,98,192.168.0.35,194.168.4.123,1,64,84,,,,,,,,,,,,,,,,
1776412004.895009000,0.016455000,98,194.168.4.123,192.168.0.35,1,57,84,,,,,,,,,,,,,,,,
1776412004.896858000,0.001849000,98,192.168.0.35,194.168.4.123,1,64,84,,,,,,,,,,,,,,,,
1776412004.914262000,0.017404000,98,194.168.4.123,192.168.0.35,1,57,84,,,,,,,,,,,,,,,,
1776412004.918185000,0.003923000,98,192.168.0.35,194.168.8.123,1,64,84,,,,,,,,,,,,,,,,
1776412004.930268000,0.012083000,98,194.168.8.123,192.168.0.35,1,59,84,,,,,,,,,,,,,,,,
1776412004.933841000,0.003573000,98,192.168.0.35,194.168.8.123,1,64,84,,,,,,,,,,,,,,,,
1776412004.946318000,0.012477000,98,194.168.8.123,192.168.0.35,1,59,84,,,,,,,,,,,,,,,,
1776412004.947916000,0.001598000,98,192.168.0.35,194.168.8.123,1,64,84,,,,,,,,,,,,,,,,
1776412004.960945000,0.013029000,98,194.168.8.123,192.168.0.35,1,59,84,,,,,,,,,,,,,,,,
1776412004.963634000,0.002689000,98,192.168.0.35,194.168.8.123,1,64,84,,,,,,,,,,,,,,,,
1776412004.973873000,0.010239000,98,194.168.8.123,192.168.0.35,1,59,84,,,,,,,,,,,,,,,,
1776412004.975244000,0.001371000,98,192.168.0.35,194.168.8.123,1,64,84,,,,,,,,,,,,,,,,
1776412004.986876000,0.011632000,98,194.168.8.123,192.168.0.35,1,59,84,,,,,,,,,,,,,,,,
1776412004.994257000,0.007381000,93,192.168.0.35,194.168.4.123,17,64,79,,,,,,,,,22838,53,web.diagnostic.networking.aws.dev,,,,,59
1776412005.014103000,0.019846000,168,194.168.4.123,192.168.0.35,17,57,154,,,,,,,,,53,22838,web.diagnostic.networking.aws.dev,,,,,134
1776412005.018974000,0.004871000,118,192.168.0.35,194.168.4.123,17,64,104,,,,,,,,,9884,53,lz.web.us-east-1-qro-1a.prod.diagnostic.networking.aws.dev,,,,,84
1776412005.039186000,0.020212000,150,194.168.4.123,192.168.0.35,17,57,136,,,,,,,,,53,9884,lz.web.us-east-1-qro-1a.prod.diagnostic.networking.aws.dev,,,,,116
1776412005.049063000,0.000146000,74,192.168.0.35,15.220.187.229,6,64,60,0,0x0002,0.000000000,69,,0.000000000,42050,80,,,,29200,,,,
1776412005.217895000,0.106949000,74,15.220.187.229,192.168.0.35,6,238,60,0,0x0012,0.168832000,69,0.168832000,0.168832000,80,42050,,,,26847,,,,
1776412005.244919000,0.027024000,66,192.168.0.35,15.220.187.229,6,64,52,0,0x0010,0.195856000,69,0.027024000,0.027024000,42050,80,,,,457,,,,
1776412005.244920000,0.000001000,365,192.168.0.35,15.220.187.229,6,64,351,299,0x0018,0.195857000,69,,0.000001000,42050,80,,,,457,,,,
1776412005.244920000,0.000000000,480,192.168.0.35,15.220.187.229,6,64,466,414,0x0018,0.195857000,69,,0.000000000,42050,80,,,,457,,,,
1776412005.418530000,0.075682000,66,15.220.187.229,192.168.0.35,6,238,52,0,0x0010,0.369467000,69,0.173610000,0.173610000,80,42050,,,,110,,,,
1776412005.418530000,0.000000000,66,15.220.187.229,192.168.0.35,6,238,52,0,0x0010,0.369467000,69,0.173610000,0.000000000,80,42050,,,,114,,,,
1776412005.419084000,0.000554000,359,15.220.187.229,192.168.0.35,6,238,345,293,0x0018,0.370021000,69,,0.000554000,80,42050,,,,114,,,,
1776412005.420303000,0.001219000,66,15.220.187.229,192.168.0.35,6,238,52,0,0x0011,0.371240000,69,,0.001219000,80,42050,,,,114,,,,
1776412005.422499000,0.002196000,66,192.168.0.35,15.220.187.229,6,64,52,0,0x0010,0.373436000,69,0.003415000,0.002196000,42050,80,,,,473,,,,
1776412005.446067000,0.023568000,66,192.168.0.35,15.220.187.229,6,64,52,0,0x0011,0.397004000,69,0.025764000,0.023568000,42050,80,,,,473,,,,
1776412005.614466000,0.040260000,66,15.220.187.229,192.168.0.35,6,238,52,0,0x0010,0.565403000,69,0.168399000,0.168399000,80,42050,,,,114,,,,
1776412019.745530000,0.001435000,97,192.168.0.55,54.72.196.78,6,64,83,31,0x0018,55.472664000,27,,55.423981000,32807,443,,,,5283,26,,23,
1776412019.771217000,0.017877000,97,54.72.196.78,192.168.0.55,6,116,83,31,0x0018,55.498351000,27,0.025687000,0.025687000,443,32807,,,,3284,26,,23,
1776412019.772436000,0.001219000,66,192.168.0.55,54.72.196.78,6,64,52,0,0x0010,55.499570000,27,0.001219000,0.001219000,32807,443,,,,5283,,,,
1776412024.384074000,0.018212000,135,51.92.222.233,192.168.0.35,6,246,121,69,0x0018,60.000670000,28,,29.908944000,443,53506,,,,3079,64,,23,
1776412024.391595000,0.007521000,135,192.168.0.35,51.92.222.233,6,64,121,69,0x0018,60.008191000,28,0.007521000,0.007521000,53506,443,,,,2608,64,,23,
1776412024.427153000,0.035558000,66,51.92.222.233,192.168.0.35,6,246,52,0,0x0010,60.043749000,28,0.035558000,0.035558000,443,53506,,,,3079,,,,
1776412028.565554000,0.032279000,249,192.168.0.55,54.72.196.78,6,64,235,183,0x0018,64.292688000,27,,8.793118000,32807,443,,,,5283,178,,23,
1776412028.620272000,0.003121000,99,54.72.196.78,192.168.0.55,6,116,85,33,0x0018,64.347406000,27,0.054718000,0.054718000,443,32807,,,,3284,28,,23,
1776412028.625802000,0.005296000,363,192.168.0.55,54.72.196.78,6,64,349,297,0x0018,64.352936000,27,0.005530000,0.005530000,32807,443,,,,5283,292,,23,
1776412028.654716000,0.028572000,99,54.72.196.78,192.168.0.55,6,116,85,33,0x0018,64.381850000,27,0.028914000,0.028914000,443,32807,,,,3284,28,,23,
1776412028.691638000,0.025562000,66,192.168.0.55,54.72.196.78,6,64,52,0,0x0010,64.418772000,27,0.036922000,0.036922000,32807,443,,,,5283,,,,
1776412029.589261000,0.132369000,371,192.168.0.55,54.72.196.78,6,64,357,305,0x0018,65.316395000,27,,0.897623000,32807,443,,,,5283,300,,23,
1776412029.611114000,0.021853000,99,54.72.196.78,192.168.0.55,6,116,85,33,0x0018,65.338248000,27,0.021853000,0.021853000,443,32807,,,,3284,28,,23,
1776412029.612320000,0.001206000,66,192.168.0.55,54.72.196.78,6,64,52,0,0x0010,65.339454000,27,0.001206000,0.001206000,32807,443,,,,5283,,,,
1776412054.384351000,0.143208000,135,51.92.222.233,192.168.0.35,6,246,121,69,0x0018,90.000947000,28,,29.957198000,443,53506,,,,3079,64,,23,
1776412054.386662000,0.002311000,135,192.168.0.35,51.92.222.233,6,64,121,69,0x0018,90.003258000,28,0.002311000,0.002311000,53506,443,,,,2608,64,,23,
1776412054.424405000,0.037743000,66,51.92.222.233,192.168.0.35,6,246,52,0,0x0010,90.041001000,28,0.037743000,0.037743000,443,53506,,,,3079,,,,
1776412056.355911000,0.000000000,123,192.168.0.200,3.248.160.245,6,255,109,69,0x0018,104.343400000,13,,61.759452000,52706,443,,,,2506,64,,23,
1776412056.381958000,0.023919000,123,3.248.160.245,192.168.0.200,6,116,109,69,0x0018,104.369447000,13,0.026047000,0.026047000,443,52706,,,,65535,64,,23,
1776412056.621025000,0.003654000,60,192.168.0.200,3.248.160.245,6,255,40,0,0x0010,104.608514000,13,0.239067000,0.239067000,52706,443,,,,2437,,,,
1776412059.429499000,0.024263000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,,,,21112,20002,,,,,,36
