frame.time_epoch,frame.time_delta,frame.len,ip.src,ip.dst,ip.proto,ip.ttl,ip.len,tcp.len,tcp.flags,tcp.stream,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,dns.qry.name
1773349552.903839000,0.000000000,97,192.168.0.55,194.168.8.123,17,64,83,,,,,,42520,53,euw1-device-tapo-care.i.tplinknbu.com
1773349552.921693000,0.017854000,129,8.8.8.8,192.168.0.55,17,111,115,,,,,,53,42520,euw1-device-tapo-care.i.tplinknbu.com
1773349552.923368000,0.001675000,129,194.168.8.123,192.168.0.55,17,59,115,,,,,,53,42520,euw1-device-tapo-care.i.tplinknbu.com
1773349552.927894000,0.000132000,129,8.8.4.4,192.168.0.55,17,112,115,,,,,,53,42520,euw1-device-tapo-care.i.tplinknbu.com
1773349552.931945000,0.003422000,129,194.168.4.123,192.168.0.55,17,57,115,,,,,,53,42520,euw1-device-tapo-care.i.tplinknbu.com
1773349554.154376000,0.019704000,54,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,14,54542,80,,,
1773349554.154449000,0.000073000,60,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,14,54542,80,,,
1773349554.206984000,0.000001000,60,192.168.0.52,192.168.0.54,6,255,40,0,0x0010,14,80,54542,,,
1773349563.370374000,0.070772000,54,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,15,49960,80,,,
1773349563.370447000,0.000073000,60,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,15,49960,80,,,
1773349563.438877000,0.010257000,60,192.168.0.47,192.168.0.54,6,255,40,0,0x0010,15,80,49960,,,
1773349569.032276000,0.052414000,60,192.168.0.52,192.168.0.54,6,255,40,0,0x0011,14,80,54542,,,
1773349569.032348000,0.000072000,54,192.168.0.54,192.168.0.52,6,64,40,0,0x0011,14,54542,80,,,
1773349569.034382000,0.001963000,60,192.168.0.52,192.168.0.54,6,255,40,0,0x0010,14,80,54542,,,
1773349572.979751000,0.034455000,368,192.168.0.54,192.168.0.47,6,64,354,314,0x0018,15,49960,80,,,
1773349573.156101000,0.097891000,371,192.168.0.47,54.75.203.10,6,255,357,317,0x0018,80,52433,443,,,
1773349573.181532000,0.025431000,87,54.75.203.10,192.168.0.47,6,115,73,33,0x0018,80,443,52433,,,
1773349573.267621000,0.009173000,200,192.168.0.47,192.168.0.54,6,255,186,146,0x0018,15,80,49960,,,
1773349573.267639000,0.000018000,54,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,15,49960,80,,,
1773349573.285302000,0.015919000,60,192.168.0.47,54.75.203.10,6,255,40,0,0x0010,80,52433,443,,,
1773349575.141282000,0.006955000,74,192.168.0.54,192.168.0.52,6,64,60,0,0x0002,128,43126,80,,,
1773349575.167173000,0.000001000,60,192.168.0.52,192.168.0.54,6,255,44,0,0x0012,128,80,43126,,,
1773349575.167196000,0.000023000,54,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,128,43126,80,,,
1773349575.167293000,0.000068000,401,192.168.0.54,192.168.0.52,6,64,387,347,0x0018,128,43126,80,,,
1773349575.258643000,0.032617000,370,192.168.0.52,52.210.212.218,6,255,356,316,0x0018,129,52444,443,,,
1773349575.258893000,0.000250000,200,192.168.0.52,192.168.0.54,6,255,186,146,0x0018,128,80,43126,,,
1773349575.258907000,0.000014000,54,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,128,43126,80,,,
1773349575.282779000,0.003075000,87,52.210.212.218,192.168.0.52,6,115,73,33,0x0018,129,443,52444,,,
1773349575.402826000,0.005451000,60,192.168.0.52,52.210.212.218,6,255,40,0,0x0010,129,52444,443,,,
1773349578.286837000,0.040358000,85,192.168.0.52,52.210.212.218,6,255,71,31,0x0018,129,52444,443,,,
1773349578.316092000,0.029255000,85,52.210.212.218,192.168.0.52,6,115,71,31,0x0018,129,443,52444,,,
1773349578.403345000,0.087253000,60,192.168.0.52,52.210.212.218,6,255,40,0,0x0010,129,52444,443,,,
1773349580.689311000,0.134719000,85,192.168.0.47,54.75.203.10,6,255,71,31,0x0018,80,52433,443,,,
1773349580.717541000,0.028230000,85,54.75.203.10,192.168.0.47,6,115,71,31,0x0018,80,443,52433,,,
1773349580.790712000,0.073171000,60,192.168.0.47,54.75.203.10,6,255,40,0,0x0010,80,52433,443,,,
1773349587.270173000,0.000329000,368,192.168.0.54,192.168.0.47,6,64,354,314,0x0018,15,49960,80,,,
1773349587.487483000,0.012519000,370,192.168.0.47,54.75.203.10,6,255,356,316,0x0018,80,52433,443,,,
1773349587.521122000,0.012551000,87,54.75.203.10,192.168.0.47,6,115,73,33,0x0018,80,443,52433,,,
1773349587.524002000,0.002880000,60,192.168.0.47,54.75.203.10,6,255,40,0,0x0010,80,52433,443,,,
1773349587.532003000,0.008001000,60,192.168.0.47,192.168.0.54,6,255,40,0,0x0010,15,80,49960,,,
1773349587.585117000,0.053114000,200,192.168.0.47,192.168.0.54,6,255,186,146,0x0018,15,80,49960,,,
1773349587.585127000,0.000010000,54,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,15,49960,80,,,
1773349587.676567000,0.012063000,97,192.168.0.55,52.50.169.45,6,64,83,31,0x0018,61,33881,443,,,
1773349587.703555000,0.019203000,97,52.50.169.45,192.168.0.55,6,115,83,31,0x0018,61,443,33881,,,
1773349587.730712000,0.027157000,66,192.168.0.55,52.50.169.45,6,64,52,0,0x0010,61,33881,443,,,
1773349590.262373000,0.014282000,54,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,128,43126,80,,,
1773349590.262447000,0.000074000,60,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,128,43126,80,,,
1773349590.358318000,0.006691000,60,192.168.0.52,192.168.0.54,6,255,40,0,0x0010,128,80,43126,,,
1773349592.933356000,0.012028000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
1773349593.242464000,0.086066000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
1773349593.531339000,0.061213000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
1773349593.835567000,0.010994000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
1773349594.140350000,0.046239000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
1773349594.445348000,0.116671000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
1773349594.754860000,0.040591000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
1773349595.041248000,0.012160000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
1773349602.794375000,0.315254000,54,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,15,49960,80,,,
1773349602.794451000,0.000076000,60,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,15,49960,80,,,
1773349602.845819000,0.051368000,60,192.168.0.47,192.168.0.54,6,255,40,0,0x0010,15,80,49960,,,
1773349605.354368000,0.000151000,54,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,128,43126,80,,,
1773349605.354441000,0.000073000,60,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,128,43126,80,,,
1773349605.360137000,0.005272000,60,192.168.0.52,192.168.0.54,6,255,40,0,0x0010,128,80,43126,,,
1773349617.898374000,0.105637000,54,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,15,49960,80,,,
1773349617.898447000,0.000073000,60,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,15,49960,80,,,
1773349618.021776000,0.123329000,60,192.168.0.47,192.168.0.54,6,255,40,0,0x0010,15,80,49960,,,
1773349620.458369000,0.028815000,54,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,128,43126,80,,,
1773349620.458441000,0.000072000,60,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,128,43126,80,,,
1773349620.577206000,0.007222000,60,192.168.0.52,192.168.0.54,6,255,40,0,0x0010,128,80,43126,,,
1773349632.272700000,0.000349000,368,192.168.0.54,192.168.0.47,6,64,354,314,0x0018,15,49960,80,,,
1773349632.359161000,0.002704000,60,192.168.0.47,192.168.0.54,6,255,40,0,0x0010,15,80,49960,,,
1773349632.426102000,0.017734000,370,192.168.0.47,54.75.203.10,6,255,356,316,0x0018,80,52433,443,,,
1773349632.438519000,0.012417000,200,192.168.0.47,192.168.0.54,6,255,186,146,0x0018,15,80,49960,,,
1773349632.438537000,0.000018000,54,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,15,49960,80,,,
1773349632.439008000,0.000441000,400,192.168.0.54,192.168.0.47,6,64,386,346,0x0018,15,49960,80,,,
1773349632.452830000,0.013741000,87,54.75.203.10,192.168.0.47,6,115,73,33,0x0018,80,443,52433,,,
1773349632.515888000,0.031378000,200,192.168.0.47,192.168.0.54,6,255,186,146,0x0018,15,80,49960,,,
1773349632.518347000,0.002459000,371,192.168.0.47,54.75.203.10,6,255,357,317,0x0018,80,52433,443,,,
1773349632.539020000,0.020673000,87,54.75.203.10,192.168.0.47,6,115,73,33,0x0018,80,443,52433,,,
1773349632.558369000,0.019349000,54,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,15,49960,80,,,
1773349632.574421000,0.015979000,60,192.168.0.47,54.75.203.10,6,255,40,0,0x0010,80,52433,443,,,
1773349632.670660000,0.096239000,123,192.168.0.200,52.50.169.45,6,255,109,69,0x0018,31,52436,443,,,
1773349632.698299000,0.027639000,123,52.50.169.45,192.168.0.200,6,115,109,69,0x0018,31,443,52436,,,
1773349632.741743000,0.043444000,60,192.168.0.200,52.50.169.45,6,255,40,0,0x0010,31,52436,443,,,
1773349635.547280000,0.000729000,60,192.168.0.52,192.168.0.54,6,255,40,0,0x0011,128,80,43126,,,
1773349635.547329000,0.000049000,54,192.168.0.54,192.168.0.52,6,64,40,0,0x0011,128,43126,80,,,
1773349635.549812000,0.002136000,60,192.168.0.52,192.168.0.54,6,255,40,0,0x0010,128,80,43126,,,
1773349642.731066000,0.001414000,97,192.168.0.55,52.50.169.45,6,64,83,31,0x0018,61,33881,443,,,
1773349642.755728000,0.024662000,97,52.50.169.45,192.168.0.55,6,115,83,31,0x0018,61,443,33881,,,
1773349642.756757000,0.001029000,66,192.168.0.55,52.50.169.45,6,64,52,0,0x0010,61,33881,443,,,
1773349647.594372000,0.162742000,54,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,15,49960,80,,,
1773349647.594445000,0.000073000,60,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,15,49960,80,,,
1773349647.698753000,0.001326000,60,192.168.0.47,192.168.0.54,6,255,40,0,0x0010,15,80,49960,,,
1773349651.594647000,0.022815000,368,192.168.0.54,192.168.0.47,6,64,354,314,0x0018,15,49960,80,,,
1773349651.773633000,0.009185000,372,192.168.0.47,54.75.203.10,6,255,358,318,0x0018,80,52433,443,,,
1773349651.804476000,0.000000000,87,54.75.203.10,192.168.0.47,6,115,73,33,0x0018,80,443,52433,,,
1773349651.872552000,0.000694000,60,192.168.0.47,54.75.203.10,6,255,40,0,0x0010,80,52433,443,,,
1773349651.872899000,0.000347000,60,192.168.0.47,192.168.0.54,6,255,40,0,0x0010,15,80,49960,,,
1773349651.906589000,0.003858000,200,192.168.0.47,192.168.0.54,6,255,186,146,0x0018,15,80,49960,,,
1773349651.906607000,0.000018000,54,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,15,49960,80,,,
1773349655.950741000,0.011894000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
1773349656.244759000,0.043440000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
