windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,uniqueSrcIPs,uniqueDstIPs,uniqueSrcPorts,uniqueDstPorts,tcpPacketCount,udpPacketCount,label
297,1773242724.456046,1773242729.456046,700,320.72857142857146,363.7152088058696,5,5,8,7,700,0,idle
298,1773242729.456046,1773242734.456046,549,317.09289617486337,364.4478131472842,6,6,8,9,549,0,idle
299,1773242734.456046,1773242739.456046,511,321.8101761252446,367.00242181998425,5,5,7,7,511,0,idle
300,1773242739.456046,1773242744.456046,481,321.0686070686071,368.6205273718905,5,5,7,7,481,0,idle
301,1773242744.456046,1773242749.456046,421,317.6223277909739,368.1864594588646,7,7,9,9,421,0,bulbchange
302,1773242749.456046,1773242754.456046,418,319.5334928229665,369.38688598461533,5,5,8,8,418,0,idle
303,1773242754.456046,1773242759.456046,633,323.1927330173776,358.8057998914104,5,5,7,7,633,0,idle
304,1773242759.456046,1773242764.456046,461,315.8112798264642,366.3196411942209,5,5,8,8,461,0,idle
305,1773242764.456046,1773242769.456046,436,318.9954128440367,366.3714025092718,5,5,7,7,436,0,idle
306,1773242769.456046,1773242774.456046,534,316.96629213483146,364.5307590365824,5,6,7,7,526,8,idle
307,1773242774.456046,1773242779.456046,443,312.32279909706546,365.7035766467672,6,6,9,9,443,0,idle
308,1773242779.456046,1773242784.456046,461,315.61388286334056,365.6691700072671,5,5,7,7,461,0,idle
309,1773242784.456046,1773242789.456046,754,329.2082228116711,367.41825356553204,6,6,8,8,754,0,idle
310,1773242789.456046,1773242794.456046,459,319.5533769063181,368.06641417700934,5,5,9,9,459,0,idle
311,1773242794.456046,1773242799.456046,503,315.62027833001986,354.21567718336826,6,6,9,9,503,0,bulboff
312,1773242799.456046,1773242804.456046,567,319.037037037037,364.6536190369124,5,5,7,7,567,0,idle
313,1773242804.456046,1773242809.456046,459,312.84531590413945,363.3297731476492,6,6,9,9,459,0,bulbon
314,1773242809.456046,1773242814.456046,399,310.4937343358396,362.3708563384434,5,5,7,7,399,0,idle
315,1773242814.456046,1773242819.456046,655,322.5053435114504,364.46343144588815,5,5,7,7,655,0,idle
316,1773242819.456046,1773242824.456046,459,311.47712418300654,364.3373374171979,5,5,8,8,459,0,idle
317,1773242824.456046,1773242829.456046,436,324.908256880734,372.24575472217083,5,5,7,7,436,0,bulbchange
318,1773242829.456046,1773242834.456046,433,310.44803695150114,353.6407306728306,6,7,8,8,425,8,bulbchange
319,1773242834.456046,1773242839.456046,462,314.0822510822511,364.24590890932143,5,5,8,8,462,0,idle
320,1773242839.456046,1773242844.456046,428,314.02570093457945,366.7909151687472,6,6,8,8,428,0,idle
321,1773242844.456046,1773242849.456046,697,326.1190817790531,366.32819497185767,5,5,7,7,697,0,idle
322,1773242849.456046,1773242854.456046,570,321.8175438596491,365.5614624382161,5,5,8,8,570,0,idle
323,1773242854.456046,1773242859.456046,423,321.40425531914894,372.2387116693555,5,5,7,7,423,0,idle
324,1773242859.456046,1773242864.456046,472,324.6525423728813,370.96322952290853,5,5,8,8,472,0,idle
325,1773242864.456046,1773242869.456046,396,310.77272727272725,352.7040841855262,5,5,8,8,396,0,idle
326,1773242869.456046,1773242874.456046,431,317.8631090487239,367.0421714679291,5,5,7,7,431,0,idle
327,1773242874.456046,1773242879.456046,739,326.68606224627877,366.02762340121063,5,5,7,7,739,0,idle
328,1773242879.456046,1773242884.456046,522,317.11877394636014,364.3381416364269,5,5,7,7,522,0,bulboff
329,1773242884.456046,1773242889.456046,489,313.0122699386503,362.6393455364536,6,6,9,9,489,0,bulboff
330,1773242889.456046,1773242894.456046,447,313.11633109619686,363.90761020975066,6,7,9,9,445,2,bulbon
331,1773242894.456046,1773242899.456046,388,310.91494845360825,368.2105628405245,6,8,10,9,382,6,bulbon
332,1773242899.456046,1773242904.456046,395,316.0405063291139,357.17219663700655,5,5,7,7,395,0,idle
333,1773242904.456046,1773242909.456046,778,325.12339331619535,364.3741450391707,5,5,7,7,778,0,idle
334,1773242909.456046,1773242914.456046,526,318.07414448669203,364.3797028176202,5,5,8,8,526,0,idle
335,1773242914.456046,1773242919.456046,426,317.4718309859155,366.9699848664396,5,5,7,7,426,0,idle
336,1773242919.456046,1773242924.456046,491,321.4480651731161,366.70137276408605,5,5,7,7,491,0,idle
337,1773242924.456046,1773242929.456046,369,325.0921409214092,375.9826215456923,5,5,8,8,369,0,idle
338,1773242929.456046,1773242934.456046,477,312.1530398322851,353.5745848244855,5,5,7,7,477,0,idle
339,1773242934.456046,1773242939.456046,695,324.1294964028777,364.6665650530818,5,5,7,7,695,0,idle
340,1773242939.456046,1773242944.456046,476,314.51680672268907,364.82721177809844,5,5,8,8,476,0,idle
341,1773242944.456046,1773242949.456046,485,314.91752577319585,366.49614313934364,6,6,8,8,485,0,idle
342,1773242949.456046,1773242954.456046,425,320.31529411764706,370.30848228642316,6,6,8,8,425,0,idle
343,1773242954.456046,1773242959.456046,365,307.1123287671233,355.9571695841414,5,6,8,8,357,8,idle
344,1773242959.456046,1773242964.456046,300,306.42,369.25527999748385,5,5,7,7,300,0,idle
345,1773242964.456046,1773242969.456046,749,326.9305740987984,366.0004171227517,5,5,7,7,749,0,bulboff
346,1773242969.456046,1773242974.456046,501,314.92215568862275,363.3607462675951,6,6,9,9,501,0,bulboff
347,1773242974.456046,1773242979.456046,471,309.6454352441614,360.5636243547622,7,7,10,10,471,0,bulbon
348,1773242979.456046,1773242984.456046,391,318.2915601023018,371.9919655947518,6,6,9,10,391,0,bulbchange
349,1773242984.456046,1773242989.456046,445,318.99101123595506,359.1121056488138,5,5,7,7,445,0,idle
350,1773242989.456046,1773242994.456046,336,308.6220238095238,364.8710465193569,5,5,8,8,336,0,idle
351,1773242994.456046,1773242999.456046,591,318.3113367174281,364.64276159431085,6,6,9,9,591,0,idle
