frame.time_epoch,ip.src,ip.dst,ip.ttl,tcp.flags,tcp.window_size_value,ip.proto,frame.len,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
1770907575.929420000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907575.930449000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907575.973078000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907576.050320000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907576.053968000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907576.054772000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907576.094650000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907576.095665000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907576.135033000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907576.136015000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907576.174911000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907576.175922000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907576.215748000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907576.216754000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907576.257231000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907576.258174000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907576.297538000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907576.298569000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907576.337845000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907576.338819000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907576.378981000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907576.381194000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907576.419711000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907576.429393000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907576.461595000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907576.462556000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907576.501676000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907576.502755000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907576.542759000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907576.543901000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907576.582844000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770907576.587017000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770907577.102499000,81.20.49.120,192.168.0.35,57,0x0010,133,6,1514,443,34710,,
1770907577.104050000,81.20.49.120,192.168.0.35,57,0x0018,133,6,1514,443,34710,,
1770907577.104050000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907577.104270000,81.20.49.120,192.168.0.35,57,0x0010,133,6,1514,443,34710,,
1770907577.104366000,81.20.49.120,192.168.0.35,57,0x0018,133,6,1514,443,34710,,
1770907577.105010000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
1770907577.105853000,81.20.49.120,192.168.0.35,57,0x0018,133,6,2427,443,34710,,
1770907577.105975000,192.168.0.35,81.20.49.120,64,0x0010,5350,6,60,34710,443,,
