windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,uniqueSrcIPs,uniqueDstIPs,uniqueTCPSrcPorts,uniqueTCPDstPorts,uniqueUDPSrcPorts,uniqueUDPDstPorts,TCPPacketCount,UDPPacketCount,avgInterArrivalTime,stdInterArrivalTime,avgTTL,stdTTL,avgIPLen,stdIPLen,avgTCPLen,stdTCPLen,tcpPayloadPacketCount,uniqueTCPStreams,DNSQueryCount,uniqueDNSQueries,label
43,1773746642.793076,1773746647.793076,3,173.0,172.86700089953547,0,0,2,2,0,0,3,0,0.020084666666666667,0.0033540471572912228,208.33333333333334,80.82903768654761,157.0,174.85136545077364,117.0,174.85136545077364,2,1,0,0,plugon
44,1773746643.793076,1773746648.793076,3,173.0,172.86700089953547,0,0,2,2,0,0,3,0,0.020084666666666667,0.0033540471572912228,208.33333333333334,80.82903768654761,157.0,174.85136545077364,117.0,174.85136545077364,2,1,0,0,plugon
45,1773746644.793076,1773746649.793076,3,173.0,172.86700089953547,0,0,2,2,0,0,3,0,0.020084666666666667,0.0033540471572912228,208.33333333333334,80.82903768654761,157.0,174.85136545077364,117.0,174.85136545077364,2,1,0,0,plugon
49,1773746648.793076,1773746653.793076,4,243.25,284.05677249451384,0,0,2,2,0,0,4,0,0.010084000000000001,0.007971772408525805,185.0,80.82903768654761,227.75,285.35986052701946,187.75,285.35986052701946,3,1,0,0,movingaroundhouse
50,1773746649.793076,1773746654.793076,4,243.25,284.05677249451384,0,0,2,2,0,0,4,0,0.010084000000000001,0.007971772408525805,185.0,80.82903768654761,227.75,285.35986052701946,187.75,285.35986052701946,3,1,0,0,movingaroundhouse
51,1773746650.793076,1773746655.793076,4,243.25,284.05677249451384,0,0,2,2,0,0,4,0,0.010084000000000001,0.007971772408525805,185.0,80.82903768654761,227.75,285.35986052701946,187.75,285.35986052701946,3,1,0,0,movingaroundhouse
52,1773746651.793076,1773746656.793076,4,243.25,284.05677249451384,0,0,2,2,0,0,4,0,0.010084000000000001,0.007971772408525805,185.0,80.82903768654761,227.75,285.35986052701946,187.75,285.35986052701946,3,1,0,0,movingaroundhouse
53,1773746652.793076,1773746657.793076,4,243.25,284.05677249451384,0,0,2,2,0,0,4,0,0.010084000000000001,0.007971772408525805,185.0,80.82903768654761,227.75,285.35986052701946,187.75,285.35986052701946,3,1,0,0,idle
59,1773746658.793076,1773746663.793076,3,166.0,132.82695509571843,0,0,2,2,0,0,3,0,0.0021523333333333334,0.00045941085460982886,208.33333333333334,80.82903768654761,150.0,135.2442235365341,110.0,135.2442235365341,2,1,0,0,idle
60,1773746659.793076,1773746664.793076,6,169.33333333333334,137.6381729995958,0,0,3,3,0,0,6,0,0.005171833333333333,0.006714348499047891,208.33333333333334,72.29568912920512,153.33333333333334,139.56599394790504,113.33333333333333,139.56599394790504,4,2,0,0,bulbchange
61,1773746660.793076,1773746665.793076,6,169.33333333333334,137.6381729995958,0,0,3,3,0,0,6,0,0.005171833333333333,0.006714348499047891,208.33333333333334,72.29568912920512,153.33333333333334,139.56599394790504,113.33333333333333,139.56599394790504,4,2,0,0,bulbchange
