windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,tcpPacketCount,udpPacketCount,uniqueSrcIPs,uniqueDstIPs,uniqueSrcPorts,uniqueDstPorts,avgInterPacketTime,stdInterPacketTime,maxInterPacketTime,smallPackets,mediumPackets,largePackets,count_size_200,count_size_368,count_size_369,count_size_74,anomalousRatio,cameraExternalPkts,cameraExternalBytes,rpi_pktsTo,rpi_pktsFrom,rpi_bytesTo,rpi_bytesFrom,rpi_avgLenTo,rpi_avgLenFrom,hub_pktsTo,hub_pktsFrom,hub_bytesTo,hub_bytesFrom,hub_avgLenTo,hub_avgLenFrom,lounge_pktsTo,lounge_pktsFrom,lounge_bytesTo,lounge_bytesFrom,lounge_avgLenTo,lounge_avgLenFrom,bedroom_pktsTo,bedroom_pktsFrom,bedroom_bytesTo,bedroom_bytesFrom,bedroom_avgLenTo,bedroom_avgLenFrom,camera_pktsTo,camera_pktsFrom,camera_bytesTo,camera_bytesFrom,camera_avgLenTo,camera_avgLenFrom,label,packetCount_delta,cameraExternalPkts_delta,lounge_pktsTo_delta,bedroom_pktsTo_delta,hub_pktsTo_delta,camera_pktsTo_delta
55406,1773404914.767854,1773404919.767854,3,76.66666666666667,11.785113019775793,3,0,2,2,2,2,0.042768001556396484,0.016244173049926758,0.05901217460632324,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,2,85,145,85.0,72.5,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0
55412,1773404920.767854,1773404925.767854,3,58.0,2.8284271247461903,3,0,2,2,2,2,0.0012603998184204102,0.001187443733215332,0.002447843551635742,3,0,0,0,0,0,0,0.0,0,0,1,2,60,114,60.0,57.0,0,0,0,0,0.0,0.0,2,1,114,60,57.0,60.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,idle,0.0,0.0,1.0,0.0,0.0,0.0
55413,1773404921.767854,1773404926.767854,3,58.0,2.8284271247461903,3,0,2,2,2,2,0.0012603998184204102,0.001187443733215332,0.002447843551635742,3,0,0,0,0,0,0,0.0,0,0,1,2,60,114,60.0,57.0,0,0,0,0,0.0,0.0,2,1,114,60,57.0,60.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0
55414,1773404922.767854,1773404927.767854,3,58.0,2.8284271247461903,3,0,2,2,2,2,0.0012603998184204102,0.001187443733215332,0.002447843551635742,3,0,0,0,0,0,0,0.0,0,0,1,2,60,114,60.0,57.0,0,0,0,0,0.0,0.0,2,1,114,60,57.0,60.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0
55415,1773404923.767854,1773404928.767854,3,58.0,2.8284271247461903,3,0,2,2,2,2,0.0012603998184204102,0.001187443733215332,0.002447843551635742,3,0,0,0,0,0,0,0.0,0,0,1,2,60,114,60.0,57.0,0,0,0,0,0.0,0.0,2,1,114,60,57.0,60.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0
55416,1773404924.767854,1773404929.767854,3,58.0,2.8284271247461903,3,0,2,2,2,2,0.0012603998184204102,0.001187443733215332,0.002447843551635742,3,0,0,0,0,0,0,0.0,0,0,1,2,60,114,60.0,57.0,0,0,0,0,0.0,0.0,2,1,114,60,57.0,60.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0
55428,1773404936.767854,1773404941.767854,3,58.0,2.8284271247461903,3,0,2,2,2,2,0.04185795783996582,0.04178500175476074,0.08364295959472656,3,0,0,0,0,0,0,0.0,0,0,1,2,60,114,60.0,57.0,0,0,0,0,0.0,0.0,2,1,114,60,57.0,60.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0
55429,1773404937.767854,1773404942.767854,3,58.0,2.8284271247461903,3,0,2,2,2,2,0.04185795783996582,0.04178500175476074,0.08364295959472656,3,0,0,0,0,0,0,0.0,0,0,1,2,60,114,60.0,57.0,0,0,0,0,0.0,0.0,2,1,114,60,57.0,60.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0
55430,1773404938.767854,1773404943.767854,3,58.0,2.8284271247461903,3,0,2,2,2,2,0.04185795783996582,0.04178500175476074,0.08364295959472656,3,0,0,0,0,0,0,0.0,0,0,1,2,60,114,60.0,57.0,0,0,0,0,0.0,0.0,2,1,114,60,57.0,60.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0
55431,1773404939.767854,1773404944.767854,3,58.0,2.8284271247461903,3,0,2,2,2,2,0.04185795783996582,0.04178500175476074,0.08364295959472656,3,0,0,0,0,0,0,0.0,0,0,1,2,60,114,60.0,57.0,0,0,0,0,0.0,0.0,2,1,114,60,57.0,60.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0
55432,1773404940.767854,1773404945.767854,3,58.0,2.8284271247461903,3,0,2,2,2,2,0.04185795783996582,0.04178500175476074,0.08364295959472656,3,0,0,0,0,0,0,0.0,0,0,1,2,60,114,60.0,57.0,0,0,0,0,0.0,0.0,2,1,114,60,57.0,60.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0
55437,1773404945.767854,1773404950.767854,5,250.8,145.02055026788443,5,0,3,3,4,4,0.0525510311126709,0.07547932205438632,0.18269920349121094,2,3,0,0,2,0,0,0.4,0,0,1,2,60,736,60.0,368.0,0,0,0,0,0.0,0.0,3,2,823,431,274.3333333333333,215.5,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,bulbchange,2.0,0.0,1.0,0.0,0.0,0.0
55438,1773404946.767854,1773404951.767854,9,180.88888888888889,139.55759021871336,9,0,3,3,4,4,0.06923362612724304,0.08960765562358514,0.2414867877960205,5,4,0,1,2,0,0,0.3333333333333333,0,0,2,4,260,850,130.0,212.5,0,0,0,0,0.0,0.0,5,4,937,691,187.4,172.75,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,bulbchange,4.0,0.0,2.0,0.0,0.0,0.0
55439,1773404947.767854,1773404952.767854,9,180.88888888888889,139.55759021871336,9,0,3,3,4,4,0.06923362612724304,0.08960765562358514,0.2414867877960205,5,4,0,1,2,0,0,0.3333333333333333,0,0,2,4,260,850,130.0,212.5,0,0,0,0,0.0,0.0,5,4,937,691,187.4,172.75,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,bulbchange,0.0,0.0,0.0,0.0,0.0,0.0
